latitude,longitude,count,f700avg,f850avg,f1700avg,f1900avg
41.87080905,-87.64716233,1,86.69176,102.9957,94.65754,92.9053
41.87081605,-87.64718043,1,82.79332,98.66756,94.23566,93.06937
41.87082952,-87.64721521,1,80.53551,93.85506,102.6263,97.35062
41.87083634,-87.6472322,1,84.85582,94.33943,95.10285,95.56937
41.8708491,-87.64726449,1,83.59801,108.2379,91.79035,92.44437
41.87085511,-87.64727984,1,82.52769,93.87068,99.75129,95.0303
41.87086702,-87.64730964,1,80.73082,98.32381,90.81379,101.335
41.87087308,-87.64732434,21,77.7177981,97.35506048,95.57904476,94.81192476
41.87087842,-87.64733711,2,73.691755,94.18318,96.747385,95.206085
41.87089398,-87.64736743,1,73.60582,92.26131,92.72785,91.55374
41.87089888,-87.64737883,1,74.39488,93.38631,95.54816,99.24124
41.87091027,-87.64740212,1,73.47301,100.8551,95.58723,93.52249
41.87091632,-87.6474137,1,74.73082,94.12068,93.58723,93.79593
41.87092827,-87.64743597,1,76.09801,93.51912,96.45441,91.0928
41.87093436,-87.64744681,1,74.58238,96.13631,96.61066,109.1162
41.87094644,-87.6474677,1,75.16051,96.87849,91.3841,102.1006
41.87095248,-87.6474778,1,73.97301,94.33943,96.49348,106.7569
41.87096519,-87.64749818,1,73.99644,97.80818,103.056,93.66312
41.87097144,-87.64750795,1,75.23863,97.04256,95.31379,93.35843
41.87097768,-87.64751748,2,74.746445,99.11287,91.82551,103.1905
41.87098993,-87.64753466,1,74.46519,109.8629,100.1966,98.28812
41.87099603,-87.64754286,1,76.46519,94.51912,90.09504,95.2803
41.87100821,-87.64755881,1,73.92613,98.90193,100.4154,97.79593
41.87101426,-87.64756673,1,74.16051,99.99568,95.8216,99.54593
41.87102639,-87.64758216,1,74.72301,97.90193,92.58723,102.7334
41.87103243,-87.64758966,1,74.75426,98.80818,97.59504,91.91312
41.87104439,-87.64760442,1,74.27769,93.49568,97.70441,92.92874
41.87105051,-87.6476115,1,77.39488,95.40193,99.54816,95.93655
41.87106284,-87.6476251,1,75.20738,101.7613,104.2669,93.63968
41.87106915,-87.64763145,1,73.83238,95.51912,96.89973,101.5694
41.87108158,-87.6476439,1,76.39488,100.2926,103.4388,90.43655
41.87108765,-87.6476501,1,74.76988,91.21443,89.49348,94.97562
41.87109974,-87.6476623,1,75.14488,101.4879,106.306,96.54593
41.87110576,-87.64766832,1,76.56676,86.16756,87.5091,94.73343
41.87111776,-87.64768016,1,76.23082,97.92537,100.3216,104.6162
41.87112373,-87.64768591,1,75.00426,99.87849,92.83723,95.66312
41.87113567,-87.64769723,1,76.98082,100.5816,91.56379,96.19437
41.87114165,-87.64770278,1,76.20738,91.96443,93.71223,93.42874
41.87115363,-87.64771371,1,75.60582,91.03474,91.51691,98.6553
41.8711596,-87.64771905,1,75.68394,92.22224,92.05598,95.33499
41.87117141,-87.64772946,1,76.01988,92.23787,91.2591,107.0147
41.87117729,-87.64773451,1,76.06676,99.68318,107.3919,90.6553
41.87118903,-87.64774444,1,76.27769,92.01131,97.68098,97.75687
41.87119472,-87.64774952,1,76.47301,93.54256,96.16535,98.67874
41.87120629,-87.64775918,1,75.86363,99.13631,93.89191,95.8428
41.87121198,-87.64776404,1,75.02769,99.53474,89.07941,93.56155
41.87122333,-87.6477737,1,78.17613,95.40974,93.5716,92.05374
41.871229,-87.6477785,1,75.88707,94.44881,96.56379,94.44437
41.87124055,-87.6477876,1,75.76988,98.55037,95.89191,113.5381
41.87124643,-87.64779193,1,75.75426,91.01131,99.15754,91.97562
41.87125821,-87.64780041,1,77.67613,98.37068,99.5716,99.72562
41.87126408,-87.64780459,1,76.79332,95.40193,93.42316,106.1397
